date,count
Jan-73,1219
Feb-73,1126
Mar-73,1049
Apr-73,993
May-73,1046
Jun-73,1118
Jul-73,1156
Aug-73,1222
Sep-73,1266
Oct-73,1334
Nov-73,1390
Dec-73,1405
Jan-74,1372
Feb-74,1355
Mar-74,1367
Apr-74,1381
May-74,1413
Jun-74,1432
Jul-74,1480
Aug-74,1518
Sep-74,1527
Oct-74,1584
Nov-74,1596
Dec-74,1643
Jan-75,1615
Feb-75,1611
Mar-75,1651
Apr-75,1605
May-75,1592
Jun-75,1613
Jul-75,1617
Aug-75,1645
Sep-75,1699
Oct-75,1716
Nov-75,1757
Dec-75,1793
Jan-76,1711
Feb-76,1594
Mar-76,1540
Apr-76,1480
May-76,1496
Jun-76,1546
Jul-76,1597
Aug-76,1691
Sep-76,1744
Oct-76,1794
Nov-76,1840
Dec-76,1861
Jan-77,1850
Feb-77,1856
Mar-77,1887
Apr-77,1907
May-77,1982
Jun-77,2008
Jul-77,2023
Aug-77,2066
Sep-77,2084
Oct-77,2101
Nov-77,2113
Dec-77,2141
Jan-78,2128
Feb-78,2135
Mar-78,2159
Apr-78,2198
May-78,2249
Jun-78,2287
Jul-78,2307
Aug-78,2325
Sep-78,2332
Oct-78,2346
Nov-78,2356
Dec-78,2286
Jan-79,2199
Feb-79,2064
Mar-79,1971
Apr-79,1943
May-79,1960
Jun-79,1999
Jul-79,2094
Aug-79,2222
Sep-79,2284
Oct-79,2380
Nov-79,2460
Dec-79,2552
Jan-80,2571
Feb-80,2613
Mar-80,2658
Apr-80,2683
May-80,2797
Jun-80,2850
Jul-80,2953
Aug-80,3045
Sep-80,3099
Oct-80,3149
Nov-80,3220
Dec-80,3286
Jan-81,3386
Feb-81,3502
Mar-81,3595
Apr-81,3728
May-81,3817
Jun-81,3926
Jul-81,3998
Aug-81,4131
Sep-81,4242
Oct-81,4352
Nov-81,4436
Dec-81,4521
Jan-82,4436
Feb-82,4160
Mar-82,3816
Apr-82,3460
May-82,3178
Jun-82,2908
Jul-82,2746
Aug-82,2620
Sep-82,4283
Oct-82,2402
Nov-82,2500
Dec-82,2696
Jan-83,2622
Feb-83,2192
Mar-83,2003
Apr-83,1846
May-83,1926
Jun-83,1979
Jul-83,2039
Aug-83,2156
Sep-83,2252
Oct-83,2382
Nov-83,2572
Dec-83,2780
Jan-84,2666
Feb-84,2423
Mar-84,2245
Apr-84,2120
May-84,2277
Jun-84,2363
Jul-84,2386
Aug-84,2417
Sep-84,2420
Oct-84,2492
Nov-84,2629
Dec-84,2713
Jan-85,2452
Feb-85,2188
Mar-85,1955
Apr-85,1877
May-85,1865
Jun-85,1856
Jul-85,1909
Aug-85,1931
Sep-85,1930
Oct-85,1879
Nov-85,1912
Dec-85,1950
Jan-86,1810
Feb-86,1444
Mar-86,1139
Apr-86,906
May-86,781
Jun-86,705
Jul-86,686
Aug-86,730
Sep-86,755
Oct-86,819
Nov-86,899
Dec-86,963
Jan-87,900
Feb-87,818
Mar-87,772
Apr-87,754
May-87,763
Jun-87,788
Jul-87,901
Aug-87,1003
Sep-87,1101
Oct-87,1124
Nov-87,1152
Dec-87,1162
Jan-88,1076
Feb-88,976
Mar-88,951
Apr-88,917
May-88,891
Jun-88,897
Jul-88,912
Aug-88,930
Sep-88,927
Oct-88,923
Nov-88,918
Dec-88,924
Jan-89,841
Feb-89,762
Mar-89,753
Apr-89,771
May-89,754
Jun-89,795
Jul-89,832
Aug-89,886
Sep-89,955
Oct-89,984
Nov-89,1041
Dec-89,1065
Jan-90,998
Feb-90,911
Mar-90,905
Apr-90,935
May-90,961
Jun-90,999
Jul-90,1010
Aug-90,987
Sep-90,1042
Oct-90,1073
Nov-90,1137
Dec-90,1136
Jan-91,1068
Feb-91,984
Mar-91,929
Apr-91,865
May-91,819
Jun-91,867
Jul-91,844
Aug-91,803
Sep-91,775
Oct-91,795
Nov-91,808
Dec-91,796
Jan-92,710
Feb-92,669
Mar-92,648
Apr-92,642
May-92,638
Jun-92,621
Jul-92,676
Aug-92,686
Sep-92,717
Oct-92,803
Nov-92,882
Dec-92,926
Jan-93,824
Feb-93,684
Mar-93,611
Apr-93,612
May-93,637
Jun-93,695
Jul-93,741
Aug-93,797
Sep-93,848
Oct-93,860
Nov-93,868
Dec-93,857
Jan-94,789
Feb-94,754
Mar-94,735
Apr-94,723
May-94,716
Jun-94,756
Jul-94,771
Aug-94,766
Sep-94,809
Oct-94,822
Nov-94,835
Dec-94,816
Jan-95,748
Feb-95,713
Mar-95,665
Apr-95,678
May-95,679
Jun-95,674
Jul-95,723
Aug-95,745
Sep-95,765
Oct-95,761
Nov-95,772
Dec-95,763
Jan-96,709
Feb-96,700
Mar-96,714
Apr-96,741
May-96,764
Jun-96,774
Jul-96,784
Aug-96,811
Sep-96,811
Oct-96,836
Nov-96,848
Dec-96,852
Jan-97,822
Feb-97,849
Mar-97,897
Apr-97,901
May-97,924
Jun-97,976
Jul-97,969
Aug-97,993
Sep-97,1009
Oct-97,996
Nov-97,983
Dec-97,1013
Jan-98,993
Feb-98,974
Mar-98,932
Apr-98,886
May-98,855
Jun-98,854
Jul-98,816
Aug-98,792
Sep-98,774
Oct-98,734
Nov-98,688
Dec-98,647
Jan-99,587
Feb-99,542
Mar-99,526
Apr-99,496
May-99,516
Jun-99,558
Jul-99,588
Aug-99,639
Sep-99,696
Oct-99,741
Nov-99,782
Dec-99,798
Jan-00,775
Feb-00,763
Mar-00,773
Apr-00,805
May-00,844
Jun-00,878
Jul-00,942
Aug-00,987
Sep-00,1011
Oct-00,1055
Nov-00,1067
Dec-00,1097
Jan-01,1118
Feb-01,1136
Mar-01,1163
Apr-01,1206
May-01,1234
Jun-01,1270
Jul-01,1278
Aug-01,1252
Sep-01,1193
Oct-01,1111
Nov-01,1000
Dec-01,901
Jan-02,867
Feb-02,825
Mar-02,763
Apr-02,750
May-02,826
Jun-02,842
Jul-02,851
Aug-02,848
Sep-02,860
Oct-02,851
Nov-02,834
Dec-02,856
Jan-03,854
Feb-03,907
Mar-03,941
Apr-03,983
May-03,1034
Jun-03,1067
Jul-03,1081
Aug-03,1090
Sep-03,1093
Oct-03,1102
Nov-03,1111
Dec-03,1114
Jan-04,1101
Feb-04,1119
Mar-04,1135
Apr-04,1151
May-04,1164
Jun-04,1176
Jul-04,1213
Aug-04,1234
Sep-04,1240
Oct-04,1240
Nov-04,1262
Dec-04,1246
Jan-05,1255
Feb-05,1276
Mar-05,1306
Apr-05,1334
May-05,1320
Jun-05,1355
Jul-05,1398
Aug-05,1436
Sep-05,1452
Oct-05,1479
Nov-05,1486
Dec-05,1470
Jan-06,1473
Feb-06,1533
Mar-06,1551
Apr-06,1597
May-06,1635
Jun-06,1665
Jul-06,1681
Aug-06,1738
Sep-06,1739
